operation,target,to,where,exec_time(nanoSec)
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,467757929
UMLCloneNode,Printer,Printer_bqtqafuldd,,497594815
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,500561057
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,531322385
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,475808995
UMLCloneNode,Printer,Printer_bqtqafuldd,,410001072
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,362085057
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,366074027
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,392670326
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,409948513
Move_Operation_Component,printRunningTotal,ScannerController,,236422765
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,544804314
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,374231292
Move_Component_New_Node,Enterprise,New-Node_yteiofzsoy,,550845372
Move_Operation_Component,printRunningTotal,ScannerController,,275884527
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,650382710
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,476694435
UMLCloneNode,Printer,Printer_bqtqafuldd,,536821847
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,472617681
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,516857503
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,479378007
UMLCloneNode,Printer,Printer_bqtqafuldd,,509999414
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,473336128
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,484266824
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,484706458
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_vdnhhjigyu,New-Node_jwbfgonltf,747393740
Move_Operation_Component,printRunningTotal,ScannerController,,335929053
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,784723395
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,469616804
UMLCloneNode,CashDeskPC,CashDeskPC_rbbmsybekv,,555939273
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,424422923
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,519227317
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,528003692
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,542419433
Move_Operation_Component,printRunningTotal,ScannerController,,301868939
