operation,target,to,where,exec_time(nanoSec)
UMLCloneNode,EnterpriseServer,EnterpriseServer_pvicnvkgyl,,435626020
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_jfvndakpec,New-Node_yzchfhtcto,578975878
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qcgvxxaylp,New-Node_zgyinsdiic,706792270
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,497644277
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,723527239
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,527607750
Move_Operation_Component,scanProduct,CashDeskApplication,,290973539
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,569465206
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,662505310
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,473576188
Move_Operation_Component,scanProduct,CashDeskApplication,,347569380
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,503972843
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,696458885
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,473525433
Move_Operation_Component,scanProduct,CashDeskApplication,,356275544
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,544151230
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,675489686
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,485091100
Move_Operation_New_Component_New_Node,getTransactionContext,New-Component_qvppykqadp,New-Node_xsspsqcris,813003641
Move_Operation_Component,createReport,PrinterController,,311342753
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,747581121
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,677428912
Move_Operation_Component,scanProduct,CashDeskApplication,,424388840
Move_Component_New_Node,Persistence,New-Node_wokjveqiup,,484734501
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_yxerkhusfv,New-Node_wzgztlbtgh,729560732
UMLCloneNode,LightDisplay,LightDisplay_ozlduczine,,411860939
UMLCloneNode,EnterpriseServer,EnterpriseServer_ffbyjavlql,,479018353
Move_Operation_Component,createReport,PrinterController,,258520749
Move_Operation_New_Component_New_Node,startSale,New-Component_qvozgcavrf,New-Node_bmujqxtnpo,667672168
Move_Operation_New_Component_New_Node,createReport,New-Component_ysojtzeblm,New-Node_rieizxdpon,674640424
Move_Operation_Component,enterOrderID,ScannerController,,366177190
Move_Operation_New_Component_New_Node,queryStockItem,New-Component_vkzgeaxkbx,New-Node_rdjaioxwlq,732715748
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_uhyiqfptif,New-Node_vkghdudflm,663639236
Move_Operation_New_Component_New_Node,queryOrderById,New-Component_bmsuzpnwoi,New-Node_ceagqyawwx,687851636
