operation,target,to,where,exec_time(nanoSec)
Move_Operation_Component,startSale,Reporting,,613086722
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,521062461
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,550333646
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,710696748
Move_Operation_Component,startSale,Reporting,,298765830
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,520847949
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_avqeehikrw,New-Node_biixxmjbjv,574677980
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,540441274
Move_Operation_Component,startSale,Reporting,,246098639
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,609301402
Move_Component_New_Node,GUIStore,New-Node_mqpeuzgayp,,560705066
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,672668730
Move_Operation_Component,startSale,Reporting,,271394608
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,466650908
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_avqeehikrw,New-Node_biixxmjbjv,774395748
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,670288196
Move_Operation_Component,startSale,Reporting,,277351991
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,711811408
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,577787522
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,655768586
Move_Operation_Component,startSale,Reporting,,287337578
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,469135498
Move_Operation_New_Component_New_Node,getMeanTimeToDelivery,New-Component_plvnurcwgs,New-Node_gldffvqcdb,705297051
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,718249021
Move_Operation_Component,startSale,Reporting,,288111920
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,730737011
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,512125921
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,540657068
Move_Operation_Component,startSale,Reporting,,239349191
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,412784860
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_avqeehikrw,New-Node_biixxmjbjv,744165775
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,642554274
Move_Operation_Component,startSale,Reporting,,250443327
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,670097669
UMLCloneNode,LightDisplay,LightDisplay_cuutfnrupk,,638599067
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_fcswtidgew,New-Node_laqsxigtcf,742927563
Move_Operation_Component,startSale,Reporting,,264611317
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,447089734
Move_Component_New_Node,Enterprise,New-Node_fokpetrvpw,,539730140
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,633847475
Move_Operation_Component,startSale,Reporting,,264109967
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,452165543
Move_Component_New_Node,GUIStore,New-Node_mqpeuzgayp,,588089923
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,650528298
Move_Operation_Component,startSale,Reporting,,255949573
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,472290145
UMLCloneNode,CashDeskPC,CashDeskPC_spklayygfd,,470786043
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,633099403
Move_Operation_Component,startSale,Reporting,,261152069
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,668091446
Move_Operation_New_Component_New_Node,saleStartedEvent,New-Component_xdxrkoalnw,New-Node_yqeunjebfw,761901486
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,678412823
Move_Operation_Component,startSale,Reporting,,304458626
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,715243274
Move_Component_New_Node,ScannerController,New-Node_iirhwtqgnk,,631059938
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,733426024
Move_Operation_Component,startSale,Reporting,,290583855
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,696063154
UMLCloneNode,LightDisplay,LightDisplay_cuutfnrupk,,547216720
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,766880714
Move_Operation_Component,startSale,Reporting,,291399045
UMLCloneNode,LightDisplay,LightDisplay_rgfhoccbpg,,516457475
Move_Component_New_Node,ScannerController,New-Node_iirhwtqgnk,,555711311
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,923535962
Move_Operation_Component,startSale,Reporting,,272928686
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,791699849
UMLCloneNode,New-Node_vrnmoxipzo,New-Node_vrnmoxipzo_rdhitxdhul,,242120809
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,773778099
Move_Operation_Component,startSale,Reporting,,294898878
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,635059469
Move_Component_New_Node,Inventory,New-Node_hbmrvtozib,,575985222
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,632731012
Move_Operation_Component,startSale,Reporting,,314570870
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,711321790
Move_Operation_New_Component_New_Node,getMeanTimeToDeliveryReport,New-Component_wokbticimi,New-Node_dmluwzokoe,705055358
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_uzjsvovzun,New-Node_ceusxvoxfo,745551153
Move_Operation_Component,startSale,Reporting,,336734165
Move_Operation_New_Component_New_Node,getTransaction,New-Component_fuoidehdje,New-Node_xhnjuttpvi,770168430
